Nâng cấp bắt đầu: 17:02:39_04-02-2026
17:03:31_04-02-2026 | ::1 | Di chuyển file assets/js/stickytableheaders/jquery.stickytableheaders.min.js | SUCCESS
17:03:31_04-02-2026 | ::1 | Di chuyển file assets/js/upload.js | SUCCESS
17:03:31_04-02-2026 | ::1 | Di chuyển file assets/tpl/rss.tpl | SUCCESS
17:03:31_04-02-2026 | ::1 | Di chuyển file composer.json | SUCCESS
17:03:31_04-02-2026 | ::1 | Di chuyển file data/certs/cacert.pem | SUCCESS
17:03:31_04-02-2026 | ::1 | Di chuyển file error.php | SUCCESS
17:03:31_04-02-2026 | ::1 | Di chuyển file includes/action_mysql.php | SUCCESS
17:03:31_04-02-2026 | ::1 | Di chuyển file includes/api/ClearCache.php | SUCCESS
17:03:31_04-02-2026 | ::1 | Di chuyển file includes/constants.php | SUCCESS
17:03:31_04-02-2026 | ::1 | Di chuyển file includes/core/admin_access.php | SUCCESS
17:03:31_04-02-2026 | ::1 | Di chuyển file includes/core/admin_functions.php | SUCCESS
17:03:31_04-02-2026 | ::1 | Di chuyển file includes/core/admin_login.php | SUCCESS
17:03:31_04-02-2026 | ::1 | Di chuyển file includes/core/admin_login_zalo.php | SUCCESS
17:03:31_04-02-2026 | ::1 | Di chuyển file includes/core/admin_logout.php | SUCCESS
17:03:31_04-02-2026 | ::1 | Di chuyển file includes/core/captcha.php | SUCCESS
17:03:31_04-02-2026 | ::1 | Di chuyển file includes/core/cronjobs.php | SUCCESS
17:03:31_04-02-2026 | ::1 | Di chuyển file includes/core/filesystem_functions.php | SUCCESS
17:03:31_04-02-2026 | ::1 | Di chuyển file includes/core/flood_blocker.php | SUCCESS
17:03:31_04-02-2026 | ::1 | Di chuyển file includes/core/is_admin.php | SUCCESS
17:03:31_04-02-2026 | ::1 | Di chuyển file includes/core/is_user.php | SUCCESS
17:03:31_04-02-2026 | ::1 | Di chuyển file includes/core/rpc.php | SUCCESS
17:03:31_04-02-2026 | ::1 | Di chuyển file includes/core/stat.php | SUCCESS
17:03:31_04-02-2026 | ::1 | Di chuyển file includes/core/statimg.php | SUCCESS
17:03:31_04-02-2026 | ::1 | Di chuyển file includes/core/theme_functions.php | SUCCESS
17:03:31_04-02-2026 | ::1 | Di chuyển file includes/core/user_functions.php | SUCCESS
17:03:31_04-02-2026 | ::1 | Di chuyển file includes/countries.php | SUCCESS
17:03:31_04-02-2026 | ::1 | Di chuyển file includes/cronjobs/dump_autobackup.php | SUCCESS
17:03:31_04-02-2026 | ::1 | Di chuyển file includes/cronjobs/notification_autodel.php | SUCCESS
17:03:31_04-02-2026 | ::1 | Di chuyển file includes/footer.php | SUCCESS
17:03:31_04-02-2026 | ::1 | Di chuyển file includes/functions.php | SUCCESS
17:03:31_04-02-2026 | ::1 | Di chuyển file includes/ini/mime.ini | SUCCESS
17:03:31_04-02-2026 | ::1 | Di chuyển file includes/ini.php | SUCCESS
17:03:31_04-02-2026 | ::1 | Di chuyển file includes/language/en/admin_authors.php | SUCCESS
17:03:31_04-02-2026 | ::1 | Di chuyển file includes/language/en/admin_database.php | SUCCESS
17:03:31_04-02-2026 | ::1 | Di chuyển file includes/language/en/admin_extensions.php | SUCCESS
17:03:31_04-02-2026 | ::1 | Di chuyển file includes/language/en/admin_global.php | SUCCESS
17:03:31_04-02-2026 | ::1 | Di chuyển file includes/language/en/admin_settings.php | SUCCESS
17:03:31_04-02-2026 | ::1 | Di chuyển file includes/language/en/admin_upload.php | SUCCESS
17:03:31_04-02-2026 | ::1 | Di chuyển file includes/language/en/admin_zalo.php | SUCCESS
17:03:31_04-02-2026 | ::1 | Di chuyển file includes/language/en/global.php | SUCCESS
17:03:31_04-02-2026 | ::1 | Di chuyển file includes/language/en/install.php | SUCCESS
17:03:31_04-02-2026 | ::1 | Di chuyển file includes/language/fr/admin_authors.php | SUCCESS
17:03:31_04-02-2026 | ::1 | Di chuyển file includes/language/fr/admin_database.php | SUCCESS
